Row Labels,Count of movie_id,tite
1454468,3030,Gravity
993846,2676,The Wolf of Wall Street
770828,2619,Man of Steel
816692,2576,Interstellar
816711,2385,World War Z
1670345,2340,Now You See Me
1300854,2303,Iron Man 3
1535109,2078,Captain Phillips
2267998,2062,Gone Girl
1392214,2016,Prisoners
1663202,1941,The Revenant
1392190,1879,Mad Max: Fury Road
1408101,1876,Star Trek Into Darkness
1951264,1823,The Hunger Games: Catching Fire
1343092,1815,The Great Gatsby
1431045,1812,Deadpool
2024544,1800,12 Years a Slave
1800241,1798,American Hustle
1483013,1786,Oblivion
2084970,1784,The Imitation Game
1877832,1723,X-Men: Days of Future Past
1979320,1669,Rush
2582802,1661,Whiplash
2278388,1638,The Grand Budapest Hotel
1798709,1638,Her
1170358,1637,The Hobbit: The Desolation of Smaug
1663662,1625,Pacific Rim
5013056,1619,Dunkirk
1457767,1615,The Conjuring
1843866,1614,Captain America: The Winter Soldier
2119532,1604,Hacksaw Ridge
2975590,1598,Batman v Superman: Dawn of Justice
1535108,1585,Elysium
790636,1575,Dallas Buyers Club
2543164,1546,Arrival
1386697,1525,Suicide Squad
2488496,1523,Star Wars: The Force Awakens
2015381,1520,Guardians of the Galaxy
1631867,1520,Edge of Tomorrow
1981115,1514,Thor: The Dark World
2562232,1504,Birdman
3783958,1488,La La Land
2802144,1480,Kingsman: The Secret Service
1853728,1453,Django Unchained
831387,1432,Godzilla
1045658,1404,Silver Linings Playbook
1430132,1391,The Wolverine
3315342,1390,Logan
2713180,1374,Fury
3498820,1347,Captain America: Civil War
3659388,1342,The Martian
2395427,1333,Avengers: Age of Ultron
2179136,1322,American Sniper
2302755,1316,Olympus Has Fallen
369610,1310,Jurassic World
2103281,1303,Dawn of the Planet of the Apes
1723121,1299,We're the Millers
1905041,1294,Fast & Furious 6
3460252,1287,The Hateful Eight
1872181,1275,The Amazing Spider-Man 2
1245492,1268,This Is the End
3890160,1267,Baby Driver
2872718,1263,Nightcrawler
3170832,1245,Room
478970,1242,Ant-Man
1211837,1235,Doctor Strange
2980516,1231,The Theory of Everything
2294629,1205,Frozen
359950,1180,The Secret Life of Walter Mitty
1895587,1175,Spotlight
